text,time
사람을 32차례를 찍었다고?...저건 미친짓입니다 얼마나 칼로 찍었으면 손이 너덜너덜 해져서...저런 놈들 다 사형 안되나요?...,6년 전
둘다 살인마다 저건,6년 전
?,6년 전
꺼듯하면 심신미약이래 개나소나 심신미약인가;; 아 쟤는 개나소나도 아깝다,6년 전
저 형제는 사형해도모잘라,6년 전
공동정범으로 보인다 암만봐도 동생이 알바생 위치를 계속해서 살피는 듯한 영상이 계속나온데,6년 전
경찰 합법접으로 엿 먹이는 방법좀 알려주세요 제발요..,6년 전
이런거보면하나도안불쌍함 자리만잘치워줫으면 디졋겟냐 운지할만햇네  자업자득^오^,6년 전
아~놔! 뒤에서 잡고있는 동생 뭐냐? 실제로 누가 자기형제가 갑자기 칼꺼내는 상황이면 중간에 가로막고 싸움말리지 뒤에서 잡고있겠냐!! 상식적으로 말이 돼? 우 씌 ~~ 😤,6년 전
진짜 ㅈ같네 생긴거부터,6년 전
똑같이 격어봐야지^^,6년 전
사형이 안되니 영화 데스노트처럼 이름이랑 어떻게 죽일지 적어서 뒤지게하고싶다 기차역에 묶어서 육신이 갈기갈기 찢겨죽어라 그이름 김성수야 제발 사신님!!,6년 전
둘 다 사형이 답이다,6년 전
와,6년 전
와이,6년 전
제발 쓰레기들은 사형시켜라...,6년 전
"경찰이 쌍욕먹은 피해자 알바생의 말을 듣고 가해자 둘을 데리고 내려가서 얘기 나눈 다음 그 pc방 건물안에 그대로 가해자 둘을 나두고 떠났고, 그 둘은 건물 화장실에서 대기타고 한 참있다가 쓰레기 버리러 내려오는 피해자 알바생을 찔러죽였네.;;
난 이 사건에 대한 이 (대한민국)나라 정부 태도에 대해 대충 룰을 알았고 이제 이 나라에서 어떡해 살아가야하는지 불안해서 못살겠다.",6년 전(수정됨)
사형 종신형이상 꼭 박아야한다.저정도는 사회와 영원히 격리를 해야한다. 그리고 충분한 형량을 줘야 다른 사람들도 살인을 쉽게 못저지를거다,6년 전(수정됨)
고조선 법보다 못한 우리나라 법 미개하다.,6년 전
성수 주먹으로 때리는 이벤트 하면 좋겠다,6년 전
"똑같이 , 하나도 다르지않게 똑같이 당하면 좋겠다 피해자가족은 얼마나 속상할까",6년 전
우리나라법 약하다.. 미국이면 걍 총살인데,6년 전(수정됨)
"국민을 지키기 위한 법이 언제부터
이렇게 살인자를 신변을 보호해주는 법이 됐나 경찰은 국민을 지키기 위한 직업인데
언제부터 살인자까지 변호해주는 직업이되었나 칼빵 32대면 말 다하지 않았냐 개한민국아 저정도면 고의살인이지 말같지않은 개소리 짓걸이면서 살인마를 왜 커버쳐주는거냐 동생이랑 같이 사형시켜라",6년 전
딱봐도 동생도 한번 쓴맛을보여주려고 햇는데 형이칼들고와서 놀랜거네ㅋㅋ,6년 전
"여기 댓글단 모든 인간들도
잠재적 살인마임을..",6년 전
"태어남의 죄를 지은 인간들의 
말과 맘은 참으로 가볍구나",6년 전
"아니 ㅋ ㅋ 생각해보셈  말이 조온나 이치에 안 맞는 게 동생이 말리려고 잡고있었다는데, 어느 모자란 새 기가 사람이 칼에 찔려죽게 생겼는데 그걸 막겠다고 피해자를 붙들고있냐 ㅋㅋㅋㅋ 정상적인 사람이면 가해자를 붙잡고있거나 피해자가 도망가게 해주지 않음? ㅋㅋㅋㅋ ㄱㅇㄱ 조금만 이입해서 생각해봐도 동생 공범인 거 뻔히 보이는데 나라 이런 것도 생각 못 할정도로 멍청하면 차라리 내가 정치할래 '-'
어유 세상;",6년 전
"어느 누가봐도 판사, 경찰이 cctv를 봐도 알텐데
경찰입장에서 두번실수했다는거 인정하면 안되니까 일부러 끝까지 대중들 말 무시하고 형만 잡아넣는건가?
아니면 쟤네 부모가 권력이있나?
상식적으로 말이안되니까 이유가 궁금하네요.
분명히 경찰들도 알건데 이유가 뭘까요?;",6년 전
"눈깔 사시아닌 이상 싸이코패스 형제 쓰레기짓 하는거
답 나오는 부분이고 
거두절미하고 긴급상황때 경찰을 믿고 있어도될지 걱정부터 앞선다",6년 전
서른살 처먹고 저런짓 하고싶냐ㅡㅡ,6년 전
생긴대로 산다더니.. 턱주가리 삐뚤어진게 인생도 삐뚤어진걸 암시하는거였네,6년 전(수정됨)
아 진짜 너무 화난다. 걍 집안 단체로 싸그리 잡아서 고문 좀 시켜라,6년 전
동생도 처벌해 주세요 !,6년 전
"강서구 pc방 살인사건과 관련해서.... 피해자와 가족께 깊은 애도를 전하고 싶다. 피해자 아버지께서 하늘이 무너져내리는 것 같았다고 인터뷰하시면서 애써 눈물을 참으시는걸 보며 마음아팠던게 아직 마음에 남는다. 그런데 그와 관련된 영상에 가해자가 조선족이라고 댓글달고, 조선족 혐오 발언 댓글을 단 게 여러 영상들에서 보였다. 그게 사실인지 아닌지는 모른다. 사실이 아니면 사회에 분란을 조장하려는 의도로 보이니, 그런 조장글을 남기는 사람들이 사회악이자 한국 사회의 적으로 보인다. 한국인이라는 카테고리를 가지고 보면 한국인 중에도 살인자가 많은데, 그러면 모든 한국인이 살인자 집단인가? 한국에서 가장 많은 범죄자들을 배출해낸 지역이 어딘지? 그 지역 출신 한국인들은 다 범죄자가 될 성향이 높다고 일반화 해아하나? 미국에 1년에 무시할 수 없는 수의 여성이 남편이나 남자친구의 폭력으로 목숨을 잃는다는데, 그러면 모든 미국인 남성이 여성에게 폭력을 가하는 가해자 집단인가? 흠 없이 깨끗한 집단에만 속한 사람이 가족, 친척, 출신학교, 출신지역, 민족, 조상, 국가, 종교, 특정 사상 단체 등을 모두 고려했을 때 존재하는지? -불가능하다. 모든 집단에는 다양한, 각기 다른 사람들이 자의적이라면 다양한 의도로 인해, 혹은 운명적으로 거기 속해 태어나고 존재한다. Ted 강연을 보면 테러리스트의 가족이 강연을 하는 것들이 있다. Columbine 학교에서 총기난사테러를 벌이고 자살한 학생의 어머니, 이집트인 테러리스트의 아들(Zak Ibrahim). 그들은 부모자식 관계로 테러리스트와 연을 갖고 살게 됐어도 그들만큼은 테러리스트가 아니다. 깨인 강연자가 되어 사람들에게 교훈을 전하는 테러리스트와 다른 역할을 한다. 가장 가까운 관계라 칭할 수 있을 부모자식 간에도, 이렇게 가까운 혈연의 관계에서도 부모와 자식이 다르다. 하물며 민족은 어떤지! 강서구 pc방 살인사건 가해자가 만일 조선족이었다고 해도 그렇게 '단순한' 발언하는 것, '일반화'시키는 것, '집단 간 분열 일으키는' 발언을 여기저기 퍼뜨리고 다니는 사람들, 그냥 지나쳤는데 여기저기서 또 퍼뜨리고 다닐 수 있을지도 모르겠다는 생각에서 그에 반대하는 생각을 담아 댓글을 남긴다. 증오와 분열이 격해지는 사회에서는 밝은 미래를 기대하기 힘들고, 사람들 마음은 더 병들어가고, 당연히 행복수치는 떨어진다. 부디 깊고 이성적으로 생각하고, 한 마디 저런 발언에 쉽게 넘어가거나 공포심 가지지 말고, 더 발전된 시민의식 가진 사람들로 가득찬 한국이 되기를 희망하며 쓴다. 요즘 유투브 동영상을 보면 한국의 시민의식이나 공무원의 임무 수행에 대해 비판하는 댓글들이 많다. 일부 사람들은 그 때문에 한국을 싫어하고 한국을 떠나려 하기도 한다. 하지만 한편으로 그런 문제의식을 발견한다는 것 자체가 좋은 출발점 될 수 있다. 한국이 국가적으로 세계에서 위상이 높아진 측면이 있었던 반면 시민의식이 다른 선진국에 비해서 낮은건 사실이다. 저희 한국의 시민들이 진실되게 더 나은 나라와 공동체를 만들길 바라는 마음과 자세로 깨어있는 의식을 가지고 시민으로서 자리매김하기를 희망합니다. 그러면 더 희망이 살아 있는 나라를 만들 수 있을거고, 한국인도 인류의 한 민족인데, 인류를 위해 기여하는 일을 하고 싶다면 내 나라 한국에서 시작하는 것이 하나의 길이다.",6년 전
이런데도 동생이 공범이 아니라고? 개소리도 되는데 갖다붙여라,6년 전
우리나라는 살인만 하면 심신미약이야. 사람 죽여놓고 정신이 온전하지 않습니다 라고하면 검찰 경찰은 아 그래? 심신미약 판결 감형!  그 미친.. 대한민국 법 쓰레기네! 솔까 우리나라 법은 있으나 마나인데 뭐 힘들게 대가리 깨지면서까지 법대를 나오려구하지...?ㅡㅡ,6년 전
어째됐든 모가됐든 동생공벙,6년 전
인권문제로 사형제도..를...안한다는 우리나라이지만....확실한 건.....저런 극악무도한 범죄자들에 대한 사형을 시행하면...확실히 저런 억울하고 잔인한 죽음이...줄어들 지 않을까...ㅜ 왜 저런 짐승만도 못하게 생긴 십새끼한테...애꿎은...사람이...희생당해야 하는지...ㅜㅜ,6년 전
"직접 항의는 형  은근 자극하고  옆에서  더하는 건 동생    신고도 동생 
이날 계획한듯 둘 다 붉은색   
형이  혼내주러  온다는 거  누가 봐도 알겠는데  그래서  그 열 받는 상황에  같이  안가고 동생만 그 자리서  상황 살피고 형이 어디 간지 왜 집에 간지  몰랐겠어? 직감이라도 했겠지 가장 가까운 듯 하지만  형을 쳐내 버리는 듯한 동생 첨부터 말렸어야지 니 형 성격  알면서",6년 전
"동생놈도  공범입니다. 
가해자가  칼을 휘두르고 있는데   피해자 팔을잡았다?
누가봐도  동생놈이 지형이 찌를수있게끔 도와준것이지.
형놈이나 동생놈이나   교수대로 가야합니다.",6년 전
"한국의 경찰도법도 쓰레기예요
사람을 흉기로 죽이고 찌르고 살해하려한것도 초등학생 훈계하듯 하고 놔두니 이런 참변이 일어나는 거예요
더러운 나라 , 저도 한국인이지만 이런흉악범죄를 됄대로되라 하고 방관하고 정말 망해가고 있는거 같아요 
어떻게 범인놈들의 꾸며낸말을 들어주고 피해자나 그가족들은 등한시하는지..",6년 전
다음생에 태어날땐 한명이아니라 수백명 수천명 수만명을 죽여줘 아무도 입열지 못하게,6년 전
"옆에서 목격을 했음에도 도와주지 않은 목격자도 멀리서 불구경이나 하며 욕하는 사람들도 깝치다 뒤진 알바생도 깝친다고 칼로찌른 가해자도 결국엔 다
똑같아 보인다.
짐승으로써 보면 이해할수가 있고
왜그랬는지 알수가 있다.
동물끼리 싸우는 장면을 보고 사람이 '세상에 나쁜개는 없다' 라고 말하듯 단순하게 원인을 알수있고 심리와 작은상황들을 이해할수가있다. 그저 계속돌아가는 상황이며 누구나 그 연쇄를 만들어내는 가해자임과 동시에 피해자란걸
그저 멀리서 개미싸움 구경하듯이 볼수가 있다
그저 쓰레기같이 별것없는것처럼",6년 전(수정됨)
"말리는데  형을 안잡고
알바생을 뒤에서  붙잡아  ?
상식적으로 생각해봐
말릴때  맞고있는 사람을  붙잡아  ?
그리고  몇번 찌를동안  계속 잡고있네
말이된다 생각해  ?
동생도  강력처벌 촉구함",6년 전
"아나운서야 나이29가 30대니? 20대지 좀 꼼꼼하게 조사해서 보도처해라~
믿음이 안가노~뉴스도 이제는 니들이 그러니까 욕을처먹는거 아니냐 모든 대충 에혀",6년 전(수정됨)
"말리려던거면 형을 잡아야지 
왜 피해자를 잡죠 대가리 안돌아가나.. 
동생은 왜 풀어줍니까? 
답답해 미치겠다 진짜",6년 전
경찰 수사다시해라 상식적으로 생각좀하자!!!,6년 전
저도 사람죽이고 아 저 제가 사실 심식마약...을..  하면 되는고에염?? /////   PC방 사건 가해자 강력히 처벌 원합니다 동생도 공범이니 둘다요   우리나라 법이 글케 우습나...?(살인을 아주...) 싱가포르랑 비교되네 그긴 껌 퉤 뱉으면 벌금이 4백만원 정도 라는데....,6년 전
"저샛기 깜빵가고 출소하는날..
나이는 40대가 넘고 이제 과거의 잘못을 조금은 반성하고 새 출발 하려고 교도소를 나서는데.
난데없이 칼을 든 신상불명의 칼잡이가 나타나 32연격으로 얼굴과 손 등을 수차례 찔러 살해한다.
그 살인범은 법의심판을 받지만 우리 국민들에게는 악마에 맞서 싸운 영웅으로 불릴것이다.",6년 전
미친 ㅅㄲ 둘다쳐넣엉~~,6년 전
말리려면 지 형을 말려야지ㅡㅡ 어디서 개수작이야 공범이구만..,6년 전
동생 아무리봐도 공범같은데,6년 전
요즘 이사건땜에 내가트라우마올거같다 내가다억울하고 울분이쌓인다 사람을 그냥죽인것도아니고 정말잔인하게고문보다더한고통을 당하게하고사망시켰다저게인간이라고할수있나겉만눈코입잇고사람처럼말하는거처럼보였을뿐분명악마다 젊은청년아무 잘못도없는데 억울해서어떻게갈까.. 잔인한싸이코패스랑동생놈꼭사형시켜라 동생놈도얼굴까라,6년 전(수정됨)
우리모두 또촛불시위합시다 사형시키는게 낫긋다,6년 전
어휴ᆢ눈물난다ᆢㅠㅠ,6년 전
살인범도 살인범이지만 경찰이 더 짜증나고 한심하네요 살인범이 죽여버리겠다고 위협도 했는데 그런 사람을 그냥 거기에 두고 돌아가버리는건 도대체 무슨 경우인지; 저 경찰들도 잡아서 죄를 묻고 싶네요,6년 전
아씨바 이게 무슨 공범이 아니야!!!!!둘다 죽여,6년 전
공개적으로 사형시켜라 !,6년 전
동생도 문제가잇는데 왜 안잡아가요,6년 전
제주도 난민은 어떻게 된건가여?,6년 전
"인간도 아니다
이런 ㅅㅋ 세금으로 먹여 살리다가
또 훗날 사회로 내보내고  이 ㅅㅋ는 사회 적응 못하고 또 지럴하다 들어가겠지
시~ㄴ~벌",6년 전
경찰들 지들 아들이였어봐라 저렇게행동하나,6년 전(수정됨)
CCTV를 봐도 동생은 공모한것이다 그리고 100% 공범이다 ~~!!!!!!!!!! 이미 피해자의 양손팔을 잡은거부터 잘못된것  만약에 <동생이 공범이 아니였으면 가해자를 말리고 피해자보고 도망쳐라고 말을할것인데> 이미 양쪽팔을 포박해 살인에 가담한것이다   결론은 동생도 공범 무기징역 가해자 <살인자는 심신미약 우울증 지 살려고 아둥바둥 > 자고로 사람을 죽인자는 사형이 답이다,6년 전
아 ㅅㅂㅅㄲ 카악~~~퉤~,6년 전
이건 경찰만이 아니라 검사도 욕먹어야 한다,6년 전
동샹도 잡아야지 시바 마친놈들 아니야,6년 전
우리나라도 공개처형하면 좋겟다 저런 것들은 죽어야해 갈수록 험해지는구나 ㅡㅡ,6년 전
동생 저 개색히도 공범이고 처벌해야 하는데 법이 참...,6년 전
"아니 미친 칼맞고있는 사람을 왜말려 말이안되잔아 칼을든사람을 말려야지

니들은 몽둥이로 때리면 맞고있는사람을 말리냐 때리고있는 사람을 말리냐 어휴 노답이다 동생도 공범이구만 경찰가는거 확인 찌르러갈때 동생따라가는거",6년 전
"이것만 보면 기분 개나쁘다 ㅡㅡ😠

개열받아😈",6년 전
살인을 저지르면서 씨씨티비있다는건 왜 확인안했지? 바보네,6년 전
개색끼 살인마 셋트,6년 전
동생이 말리려던 것이래 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저게 상식적으로 말이 되나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,6년 전
아니 칼 들고 있는 사람을 말려야지 동생 저거 형하구  공동 범행 한 걸로 보이네,6년 전
동생도 공범이다... 진짜 미친 개경찰들. 경찰을 믿으면 안 되는 세상이구나,6년 전
형을 말려야지 알바팔을 왜 잡어 동생 공범이다 거짓말탐지기 해봐라..,6년 전(수정됨)
영상만 봐도 동생이 공범이네,6년 전
아존나열받는다진짜;;,6년 전
여기 어디 동네냐? 어메이징 한 동네구몬 촌동네여?,6년 전
ㅋㅋㅋ,6년 전
"언론에 얼굴공개하고 칼로 찌르는거까지 보여주네? 
왜 조두순그런애들은 안보여주는거??",6년 전
머리카락 한가닥씩한가닥씩불붙여서뜨거움이란걸 최대한오래동안 머리와얼굴이 못알아보게 고통주고 식인물고기가풀려있는 수족관에 손발을묶어서 최대한오래동안 고통을경험하며 죽도록해야한다....,6년 전
"누가봐도 공범아닌가요
동생말만듣고 참고인 조사만 하고 돌려보냈다고 하니 참 기가 찹니다",6년 전
"여러분 중점은 동생입니다. 저 사건의 진범은 동생이예요. 왜냐고요 계획살인을 저지르고 도망갔다가 경찰한테 가서 계속 부인하고 법정에선 별로효과도없는 거짓말탐지기 액션을 하고있네요. 신상공개는 잡힌 살인범이 아니라 현재 불특정다수에게 계획살인을 범할 가능성이 있는 동생입니다. 경찰의 초기대응은 현 법에 접촉해서 할수있는 최선이지만 동생이 현재 국민에게 입힐수있는 잠재적 계획살인에대해선 경찰도 공범이고 사건 방조나  마찬가지입니다.
동생의 신상을 공개 하세요 모두의 안전을 위해",6년 전
말릴꺼면 지형을 잡아야지 왜 피해자를 잡아?,6년 전
"동생놈이 더 악질이네...
분위기를 부추겨서 형이 살인하게 만들고  잘 찌를수있게 말리는척 잡고있었구만
영상보니 답이 딱 나오는데  피시방에서도 알바생이 욕한다고 먼저 신고하는놈이었고  형에게 분노를 이끌어내서 죽이게만든 장본인이 동생이다",6년 전
개 찐따같은 놈들한테 당하셔서 얼마나 억울할까요...ㅜㅜㅠㅜㅜㅜㅠ,6년 전(수정됨)
그냥 죽여라 ㅈ같은 형제놈들 사형 시켜도 모자름 ㅉ,6년 전
동생도 공범 맞지. 피해자의 손을 저항 못 하게 잡고 있었는데,6년 전
제발 심신미약이라고 감형시키지말고 제대로 강력한 처벌 해주세요 동생도 공범처벌 바랍니다,6년 전
상식적으로 말리려면 때리는사람을 잡아야지 맞고있는 사람을 잡는게 말이되나...,6년 전
여경보내면 되겟네,6년 전
"동생새키도 공범이네.
둘다 무기징역시켜라 부모얼굴 볼 자격없다!",6년 전
알바하던애가 만약  사회생활 경험하는 재벌3세나  지역유지아들 아니면 국회의원 아들이였으면 그냥 바로 무기징역이다,6년 전
하 초딩이봐도 우리나라 법 개같네,6년 전
동생은  공범이,6년 전
그놈의 심신미약은 진짜 누굴위해 존재하냐,6년 전
여자가살기무서운나라다 진짜..,6년 전
호신술을배워야해,6년 전
"공개처형 해서 광화문에 걸자
용서가 안된다
저래두 인권인권 할꺼냐
대통령 정도면 죽일놈은 죽일줄도 알아야한다",6년 전
거짓말 탐지기로 동생이 진술한 진실여부가 참작이 되지 않을까요?,6년 전
아주 형제들이 개 지..,6년 전
"뉴스 다 시끄러워, 그냥 죽여.",6년 전
우리도 이렇게 마음이아픈데 알바생부모님은 억장이 무너지겠지,6년 전
"요새 네이버 웹툰 ""비질란테""라는 작품이 있는데 요 만화에서 주인공이 살인,강간 같은 중범죄를 저지르고도 그에 맞는 처벌을 받지않은 범죄자들을 암암리에 처단하는데  진짜로... 진짜로...  저는 이런 다크히어로를 원합니다. 이 대한민국이라는 사회늕 법의 울타리가 가느다란 실 한개로 이루어져 있어서 믿을게 못됩니다... 진짜 다크히어로가 등장해 범죄자들의 간담을 서늘하게 해야 숨구멍이 트일 거 같습니다.   전에도  캐나다였나 자신의 여자친구를 강간살인했었던 범죄자를 잔인하게 오랫동안 고문하며 살해한 영상을 뿌려 범죄율이 급감한 사건도있었지요.. (사건이 잘 기억나지 않네요)",6년 전
지가 말릴 사람은 형이지. 그러니 공범이지. 둘다 죗값 치뤄야 공평하지 않을까요?,6년 전
"아.,,,저씨씨티비 영상 보는 가족들마음은어떨지,,,,,너무마음이아프다",6년 전
"두팔을 잡은 자체가 이미 공범자인데
뭔 풀어줘
형제끼리 나란히 독방신세 지내야지

그리고 우리나라는 뭐만하면 정신질환때문에 형량 줄이는데
저게 정신질환을 가진 사람이냐고
짐승보다 못한 것이지 ㅉ...",6년 전
둘다 사형 시키자 저런 시키들은 줘페버려야돼,6년 전
이럴땐 가해자의 인권을 너무 지켜주는거같네,6년 전
말도안되는거지만 웹툰 비질란테가 실제로 있었으면한다..동생도 잡았으면 공범아니냐 왜풀어주는거야,6년 전
동생이 형을 말렸다 하더라도 저게 동생이 적극적으로 말리는 모습으로 보이나요?? 둘이 공범입니다!,6년 전
양아치 형제군  시청앞에 풀어놔라 시민들이  때려 죽이게  지도 당해봐야지,6년 전
동생ㅅㄲ 잡고있네 니둘은 끝났어 인생. ㅋㅋ,6년 전
칼빵 개꿀띠~><,6년 전
사형,6년 전
사형시켜.두놈들 다.짜고치는 고스톱이구만뭘...뭐가 단독범행야.동생은 공범 아니다??ㅈ이나 까 잡숴...,6년 전
우리나라 법은 피해자를 위해서가 아닌 가해자를 위해서 만든 법이다~,6년 전
진짜 개씹쓰레기.... 개빡치네,6년 전
가해자는 인권을 무시하고 기만했으니 가해자 인권도 처참히 짓밟아도 되는데,6년 전
요즘 한국 범죄들 보면 칼하나는 소지하고 다녀야 할듯 무서워 죽겠넹,6년 전
다시는 백수를 무시말라,6년 전
극악무도한 놈. 안일한 경찰,6년 전
정말 화가나고 속상합니다. 학교폭력에서도 방관을 하면 방관죄로 처벌을 받습니다. 그리고 실수로 사람을 죽여도 사람을 죽인건 살인이라 처벌을 받아요. 형은 이제 말 할 것도 없고 말 할 필요도 없고 저 정신병자 동생은 처벌을 받아야 맞는거 아닙니까? 저 정신병자 동생만 아니였어도 피해자는 살 수 있었습니다. 그리고 짧은 시간이라도 계획범죄를 일으킬 수 있습니다. 그 짧은 시간에 두 정신병자가 계획을 하고 한 일일 수 도 있다고 개인적으로 생각합니다. 아무리 생각을 해봐도 이해가 되질 않습니다. 아무 친분 없는 제가 너무 속상하고 답답하고 분합니다. 세상에 눈도 뜨지 못한 그 친구가 정말 맘아프고 하루 사이에 아들을 잃은 그의 부모님과 동생을 잃은 형을 생각 하면 너무 속상해서 눈물이 다 납니다. 정말 화가나서 저 정신병자를 잘 못 키운 저 범죄자 부모도 그냥 다 처벌을 받게 해주고 싶네요. 매일매일 저 범죄자랑 범죄자 동생이 감빵에 가서 이 세상 숨쉬고 살아가는게 고통이길 빕니다. 저 범죄자들이 앞으로 남은 인생 고통이길 바랍니다.,6년 전
쟤네도 칼로 얼굴 30번 찌르고 사형시키지 그러냐,6년 전
1000% 공모다,6년 전
손부터발까지 기름에천천희튀긴후 칼로살가죽벗겨서 피라냐때에던져버리고싶네,6년 전
너무 마음이 아프고 너무 화가난다.,6년 전(수정됨)
범죄하기 좋은 나라 ㅎㅎ,6년 전
살때동안 아주고통스럽게 살았으면 좋겠다,6년 전
"말린게 아니다..ㅜㅜ아휴 젊은이 너무너무 불쌍해..ㅜㅜ
고이 잘 가소서...",6년 전
동생이 붙잡고있엇으니깐 칼을30빵이나맞은거지... 하,6년 전
저사람들은 고문시키고 죽여야함,6년 전
둘다 저알바생이 죽은것에 몇배로 고통스럽게죽어야하는데 심신미약 ㅇㅈㄹ,6년 전
가해자는참수형가자,6년 전
엄연히 공범이지!!! 말리려면 칼든 지형을 잡아야지! 피해자양팔을 잡은동생도 또같은 살인범이죠!!!,6년 전
둘다 사형시키라.쟈슥들아,6년 전
꼭 처참한 고통속에서 오래오래 살길 바란다.,6년 전
이 사건은 넘어가지않았으면... 현실은 맨날 이런거 금방 이슈화되다가 다시 묻힘..,6년 전
가해자 동생이 무슨 마음으로 피해자를 잡았는지 중요하지 않다고 봅니다. 어찌 되었든 가해자는 살인을 저질렀고 동생은 살인에 도움을 주었습니다. 피해자의 몸을 구속해서 벗어날 수 없게 만든점은 살인에 가담했다 봐도 무방하다 생각합니다. 모든 일을 결과론적으로 보면 안 되겠지만 이 사건에서 경찰들이 말하는 점은 전혀 이해가 안 갑니다. 참고인이라뇨.. 같은 살인자를,6년 전
빼도박도 없네 이거보면 동생도 확실히 공범이네,6년 전
술먹고 운전하면 무조건 처벌이고 술먹고 사람죽이면 심신미약으로 보호받는 어이없는 나라,6년 전
형이랑동생도마찬가지지만은 동생도얼마나무서웠겠어요 바로앞에서  사람모에 칼이들어가는데,6년 전
대한민국 경찰들은 거의 필리핀 비리 판쳐대는 경찰급,6년 전
싸이코 ㅅㅂㅅㄲ !!! 둘다 처넣어야되 !!!!,6년 전
죽은게얼마나 억울하고분할까...하....,6년 전
아나 장난하나 형은 특수살인죄로 기소하고 동생은 공동정범으로 기소하면되는구만 아...답답하노,6년 전
칼맞는 사람을 잡는게 말리는거냐 ?  공범이지 ! 개경찰들,6년 전
앙 견찰 견찰  경찰,6년 전
"cctv 보니 뒤에서 잡은거 맞네요
형이 앞에서 얼굴 공격하는거 보면서 뒤에서 밀리지않게 잡고있구만
동생도 처넣어라
아구 화난다",6년 전
참 사람 죽이기 좋은 나라,6년 전
풀어주세요ㅡ시민들안데 맞아죽게ㅡ아픈 고통을ㅡ주면서 찢어 죽일놈ㅡ얼굴을 찟어 버리고싶네,6년 전
